engine,tier,prompt_idx,ttft_ms,tpot_ms,e2e_ms,per_token_ms,tokens_per_sec,requests_per_sec,peak_vram_mb,acceptance_rate,status
naive_target_only,short,0,238.4637612849474,25.406377504066544,1483.376258984208,"[37.635087966918945, 24.488290771842003, 25.492696091532707, 25.715075433254242, 24.582479149103165, 25.041326880455017, 24.519577622413635, 24.62163195014, 25.67613497376442, 25.436097756028175, 24.817856028676033, 24.840664118528366, 24.942882359027863, 26.308564469218254, 24.509143084287643, 24.925963953137398, 25.44032596051693, 24.583036080002785, 25.576138868927956, 24.662187322974205, 24.973509833216667, 24.93087761104107, 24.905933067202568, 25.492632761597633, 25.48801153898239, 24.39148724079132, 25.627540424466133, 24.642344564199448, 24.783698841929436, 26.932470500469208, 24.719761684536934, 24.947233498096466, 25.251707062125206, 24.727288633584976, 26.194365695118904, 24.995917454361916, 24.90786276757717, 25.273490697145462, 25.14425478875637, 25.802364572882652, 24.435844272375107, 24.92571994662285, 25.59162862598896, 24.850694462656975, 25.536736473441124, 27.109967544674873, 24.857856333255768, 24.66079220175743, 24.995343759655952]",33.70688973695668,,4015.9541015625,,SUCCESS
naive_target_only,short,1,21.51794731616974,25.50030302028267,1271.0327953100204,"[24.188566952943802, 24.299567565321922, 24.994604289531708, 24.68840591609478, 24.745259433984756, 24.48347583413124, 24.498676881194115, 24.613171815872192, 24.92065541446209, 24.353768676519394, 24.48969893157482, 24.772224947810173, 24.99248832464218, 24.312296882271767, 24.295995011925697, 24.33578670024872, 24.982940405607224, 24.610601365566254, 24.73093941807747, 24.478305131196976, 24.585437029600143, 24.21308122575283, 24.14068952202797, 24.49718303978443, 24.18767847120762, 27.136053889989853, 24.456752464175224, 25.00717341899872, 24.438558146357536, 24.3734959512949, 24.320099502801895, 24.607688188552856, 24.411670863628387, 26.933901011943817, 28.370235115289688, 25.45257844030857, 26.812201365828514, 24.4174562394619, 50.20972527563572, 24.950355291366577, 24.688156321644783, 25.047680363059044, 25.061344727873802, 25.669017806649208, 25.900300592184067, 26.001792401075363, 26.03551186621189, 25.954335927963257, 25.847263634204865]",39.33808803714179,,4015.95703125,,SUCCESS
naive_target_only,short,2,21.9181589782238,24.859047513835286,1240.0114871561527,"[23.844795301556587, 24.72071349620819, 24.69274215400219, 24.69036914408207, 24.659596383571625, 24.636847898364067, 24.646040052175522, 24.68923106789589, 25.037288665771484, 24.809643626213074, 24.711456149816513, 24.778056889772415, 24.596279487013817, 24.64962750673294, 24.699313566088676, 24.474577978253365, 25.26947669684887, 24.66428093612194, 24.824894964694977, 24.80895258486271, 24.815179407596588, 24.935800582170486, 24.70461092889309, 24.819133803248405, 25.096699595451355, 24.998117238283157, 25.021113455295563, 24.93809163570404, 24.296652525663376, 24.466950446367264, 24.470068514347076, 24.86494556069374, 25.402115657925606, 25.388794019818306, 25.261498987674713, 25.005703791975975, 24.863015860319138, 24.603763595223427, 25.18695592880249, 25.016814470291138, 24.84489418566227, 25.02996474504471, 25.07508173584938, 25.16878955066204, 25.471296161413193, 25.141756981611252, 24.939987808465958, 25.516748428344727, 24.844598025083542]",40.32220710686334,,4015.95703125,,SUCCESS
naive_target_only,medium,0,100.85481218993664,113.71736467948982,5673.005681484938,"[54.97518740594387, 113.48973773419857, 117.58746393024921, 114.75126072764397, 113.01444284617901, 110.74211075901985, 110.07731035351753, 110.65495945513248, 114.88469690084457, 113.13037946820259, 113.14008757472038, 113.37942443788052, 113.16144280135632, 113.14479634165764, 113.67300897836685, 113.2320836186409, 114.19213376939297, 112.86517046391964, 113.48942294716835, 113.21323364973068, 113.34206163883209, 113.5169044137001, 113.61260898411274, 113.54352347552776, 113.57542872428894, 221.28786705434322, 36.84457205235958, 112.29738965630531, 113.44379372894764, 113.48836123943329, 113.89155499637127, 114.02890272438526, 113.61976154148579, 116.08958430588245, 115.87638407945633, 116.87092669308186, 115.18673039972782, 116.50807969272137, 116.2538155913353, 115.83370342850685, 116.15650914609432, 116.18365906178951, 116.53190851211548, 115.92797935009003, 116.15842022001743, 116.581279784441, 116.18266254663467, 116.06352217495441, 116.45461991429329]",8.813670002691104,,4560.9375,,SUCCESS
naive_target_only,medium,1,22.44829572737217,113.9249895528263,5604.772783815861,"[106.15102387964725, 110.20774394273758, 110.12045852839947, 110.2184858173132, 110.53694225847721, 110.57910695672035, 110.51463149487972, 110.8088567852974, 110.9582670032978, 113.33289183676243, 113.58810774981976, 113.5972086340189, 113.37982304394245, 113.49134519696236, 113.64440433681011, 113.90392109751701, 113.72021771967411, 113.40292915701866, 113.64468932151794, 113.65151777863503, 113.59789222478867, 113.68867568671703, 113.69722336530685, 113.80044743418694, 113.94312977790833, 113.93226496875286, 113.82463946938515, 113.68970386683941, 113.9670591801405, 114.02185633778572, 113.91221173107624, 114.37791958451271, 113.99754881858826, 115.90323224663734, 116.24931171536446, 116.26442521810532, 116.34671874344349, 116.39798805117607, 116.32954701781273, 117.00122058391571, 115.55797606706619, 116.4530161768198, 116.6141964495182, 116.65128730237484, 116.35002866387367, 116.6120395064354, 116.46994762122631, 116.49973876774311, 116.72066897153854]",8.92096824056422,,4560.951171875,,SUCCESS
naive_target_only,medium,2,22.117506712675095,114.0140239149332,5608.804678544402,"[106.73965699970722, 110.52501946687698, 110.52175611257553, 110.54483987390995, 110.51510833203793, 110.59566773474216, 110.600046813488, 110.59772409498692, 110.97633838653564, 113.62431570887566, 113.82808350026608, 113.1624635308981, 113.46561089158058, 113.59168402850628, 113.5230790823698, 114.3264900892973, 114.29712921380997, 113.00885118544102, 113.75392600893974, 113.51283453404903, 113.77480812370777, 114.26993645727634, 113.52699436247349, 113.64569142460823, 113.83021250367165, 113.78213576972485, 114.18524570763111, 113.85533213615417, 114.73781056702137, 114.33455348014832, 113.34026791155338, 113.90262469649315, 113.93643915653229, 116.30317196249962, 116.22574366629124, 116.3647398352623, 117.53671243786812, 115.79516343772411, 116.36911891400814, 116.44310876727104, 116.40872433781624, 116.4575032889843, 116.37656763195992, 116.73680134117603, 116.46705865859985, 116.59652180969715, 116.46886356174946, 116.29478447139263, 117.00990982353687]",8.914555393819848,,4560.951171875,,SUCCESS
naive_target_only,long,0,449.4054038077593,443.9949245781315,22205.1567081362,"[129.6460311859846, 441.444369032979, 441.5240939706564, 780.8252684772015, 471.61615267395973, 131.05174712836742, 441.644586622715, 441.8413657695055, 441.55607745051384, 441.69444777071476, 781.1470478773117, 470.3992251306772, 131.10164552927017, 441.80253334343433, 441.99771247804165, 441.88581593334675, 441.8221767991781, 781.4129069447517, 470.64679861068726, 130.8198682963848, 441.99590012431145, 442.20452196896076, 441.8297577649355, 441.99939630925655, 783.1476237624884, 471.2813477963209, 131.21915236115456, 441.9763870537281, 442.17257387936115, 442.23146326839924, 442.06783547997475, 782.3804318904877, 470.6583321094513, 131.06038235127926, 442.1774838119745, 442.38984398543835, 442.51365400850773, 784.198759123683, 470.62562964856625, 131.24621659517288, 442.6687639206648, 442.5320867449045, 442.3578232526779, 442.55091808736324, 782.596567645669, 471.35617583990097, 131.25948794186115, 442.45079532265663, 442.72212125360966]",2.2517292112457588,,6435.06640625,,SUCCESS
naive_target_only,long,1,84.4181440770626,441.89938705186455,21737.488109618425,"[435.9207767993212, 441.4653927087784, 441.60949997603893, 441.71605817973614, 441.6437763720751, 441.57630018889904, 441.66889414191246, 441.90726801753044, 441.77244417369366, 441.7355377227068, 441.3592088967562, 441.8273512274027, 441.85871444642544, 441.8621137738228, 441.90336763858795, 441.93482398986816, 441.8854843825102, 441.95073656737804, 442.08171777427197, 441.92942418158054, 442.1777296811342, 441.99361838400364, 442.2830119729042, 441.9014062732458, 442.41004064679146, 441.87159836292267, 441.94209203124046, 442.0163370668888, 441.9395700097084, 442.23095290362835, 441.85141287744045, 442.01563484966755, 441.9056512415409, 442.21082888543606, 442.1950373798609, 441.95581786334515, 442.1440325677395, 442.11521185934544, 442.3604626208544, 442.36123375594616, 442.39290431141853, 442.30945594608784, 442.18840077519417, 442.31225550174713, 442.4992110580206, 442.6981844007969, 442.3547927290201, 442.23024882376194, 442.59393960237503]",2.300173771130251,,6435.11328125,,SUCCESS
naive_target_only,long,2,83.93460884690285,443.08637698390044,21795.167081058025,"[435.7858244329691, 441.6672307997942, 441.2679299712181, 441.1017391830683, 441.18351116776466, 441.521979868412, 441.77790358662605, 441.7463690042496, 442.98428297042847, 443.17913614213467, 442.96020083129406, 443.1532360613346, 443.17539036273956, 443.1030564010143, 443.1960303336382, 443.216172978282, 443.2244971394539, 443.3511830866337, 443.30109655857086, 443.2674292474985, 443.30548867583275, 443.42157430946827, 443.7010493129492, 443.28479655086994, 443.50898265838623, 443.34833696484566, 443.27240996062756, 443.37987527251244, 443.58693063259125, 443.5937348753214, 443.96189972758293, 443.4119053184986, 443.8873641192913, 444.1062733530998, 443.6528105288744, 443.6212070286274, 443.6959810554981, 443.6613544821739, 444.22708079218864, 443.7127001583576, 444.0376069396734, 443.7850173562765, 443.7800068408251, 443.8203815370798, 443.9148027449846, 443.87102872133255, 443.82148049771786, 443.9605548977852, 443.73563677072525]",2.294086565799008,,6435.11328125,,SUCCESS
spec_k2,short,0,111.08415201306343,54.826756103002296,2797.595201060176,"[132.45313242077827, 113.80655132234097, 114.11081068217754, 0.05007721483707428, 84.28508043289185, 114.44750800728798, 0.049890950322151184, 85.03110706806183, 0.05050003528594971, 84.41168628633022, 0.04873983561992645, 114.40465226769447, 0.0505838543176651, 84.11549217998981, 0.04996173083782196, 113.85364085435867, 113.70761692523956, 0.04945136606693268, 83.94452929496765, 0.04931911826133728, 84.10824835300446, 113.68880607187748, 0.050593167543411255, 89.4190389662981, 0.058166682720184326, 85.90439148247242, 114.26500789821148, 0.05001947283744812, 84.25377309322357, 0.05097128450870514, 84.48864333331585, 0.049777328968048096, 114.63320069015026, 0.049427151679992676, 84.15601216256618, 0.04895217716693878, 84.16866697371006, 0.05399622023105621, 84.41966399550438, 0.05064159631729126, 84.11413058638573, 0.04989653825759888, 84.72026325762272, 0.0494103878736496, 84.40500684082508, 0.05037523806095123, 85.2023083716631, 0.05050003528594971, 84.93082784116268]",17.872492768450567,,3928.43212890625,0.7142857142857143,SUCCESS
